station name,lat,long,routes served,Districts/Neighborhoods,income,hardshipIndex,projectedPoint,Wrigleyville,may_20_avg_weekday_rides,apr_20_avg_weekday_rides,feb_20_avg_weekday_rides,jan_20_avg_weekday_rides,prePanAvgRidership,JanFeb20AvgRidership,postPanAvgRidership,lockdownRelativeAvg,postPanRelativeAvg,avg_weekday_ridership_jun_23,avg_weekday_ridership_jul_23,avg_weekday_ridership_aug_23,avg_weekday_ridership_sept_23,avg_weekday_ridership_oct_23,post_pan_avg,previous avg
Pulaski-Forest Park,41.873866,-87.727927,blue,Garfield Park,15449.5,65.8,,,663.4,723.1,1687.8,1625.9,1726.733333,1656.85,591.72,0.4184144612,0.3426817497,755.9,650.2,493.4,501.5,557.6,591.72,1726.733333
Cicero-Forest Park,41.871574,-87.745154,blue,Austin,21385,56.1,,0.5401881731,401.8,420.1,1138.7,1150.4,1370.833333,1144.55,506.5,0.3590494081,0.3694832827,629.4,557.7,434.2,420.3,490.9,506.5,1370.833333
Austin-Forest Park,41.870907,-87.777343,blue,Oak Park,66755,,,,295.6,293,1716.1,1652.5,2008.493333,1684.3,539.56,0.1747313424,0.268639179,678.2,574.7,423.7,456.4,564.8,539.56,2008.493333
Oak Park-Forest Park,41.872108,-87.791602,blue,Oak Park,66755,,,,147.6,150.7,1681.8,1634.5,1900.053333,1658.15,460.44,0.08994964267,0.2423300399,607.6,511.7,339.1,355.6,488.2,460.44,1900.053333
Harlem-Forest Park,41.87349,-87.806961,blue,Forest Park,54017,,,,282,290.4,994.4,1019.1,1275.646667,1006.75,364.72,0.2842811026,0.2859098915,447.9,396.2,312.6,309.7,357.2,364.72,1275.646667
Forest Park,41.874251,-87.816591,blue,Forest Park,54017,,,,722.9,723.5,2848.4,2823,3452.82,2835.7,1091.7,0.2550340304,0.3161763428,1236.9,1154.8,971.1,966.2,1129.5,1091.7,3452.82
Polk,41.871548,-87.66956,pink,"Little Italy, UIC",59635,27.1,,,457.3,415.4,3284,3164.1,3369.686667,3224.05,2444.62,0.1353421938,0.7254739808,1949.8,2140.1,2545.5,2918.3,2669.4,2444.62,3369.686667
18th,41.857911,-87.669195,pink,Lower West Side,30762,,,0.7137733093,236.1,236.9,1682.3,1653.3,1876.7,1667.8,1297.08,0.1418035736,0.6911493579,1246,1187.8,1277,1371.5,1403.1,1297.08,1876.7
Damen-Cermak,41.854613,-87.67608,pink,Lower West Side,30762,,,,239.2,206.3,1511.1,1445.9,1588.74,1478.5,1139.54,0.1506594521,0.7172602188,1074.7,1067.9,1128.2,1218.7,1208.2,1139.54,1588.74
Western-Cermak,41.854452,-87.685403,pink,Lower West Side,30762,,,,247.9,256.8,1028.4,1032.5,1163.626667,1030.45,865.04,0.2448930079,0.743399945,795.5,802.3,860.5,936.5,930.4,865.04,1163.626667
California-Cermak,41.854269,-87.695326,pink,Little Village,14234,66.7,,,276.7,287.4,1320.8,1311.4,1496.473333,1316.1,1104.82,0.2143074234,0.7382824507,993.2,1001.9,1051.1,1368.9,1109,1104.82,1496.473333
Kedzie-Cermak,41.854143,-87.705435,pink,North Lawndale,17708,60.3,,0.6588577887,208,221.8,917.5,890.4,1118.146667,903.95,809.68,0.237734388,0.7241268289,690.1,698.2,774.7,1042.4,843,809.68,1118.146667
Central Park,41.854059,-87.715226,pink,North Lawndale,17708,60.3,,,251.6,268.8,1081.9,1066.5,1211.373333,1074.2,758.08,0.2422267734,0.6258021199,702.5,715.3,740.7,821.8,810.1,758.08,1211.373333
Pulaski-Cermak,41.853873,-87.724668,pink,North Lawndale,17708,60.3,,,290.1,300.8,974.1,980.9,1111.546667,977.5,783.74,0.3022506394,0.7050896049,738.5,755.2,781.7,826.1,817.2,783.74,1111.546667
Kostner,41.853751,-87.733258,pink,North Lawndale,17708,60.3,,,118.5,133.6,415.2,422.3,507.6733333,418.75,294.66,0.3010149254,0.5804126013,269.9,260.7,294.7,320,328,294.66,507.6733333
Cicero-Cermak,41.851941,-87.744498,pink,Cicero,23597,,,0.7036703002,340.6,314.4,1044.6,1038.8,1265.473333,1041.7,894.56,0.3143899395,0.7068975509,855.3,845.7,906.7,954.6,910.5,894.56,1265.473333
54th/Cermak,41.851773,-87.756692,pink,Cicero,23597,,,,449.4,445.1,1970.3,1921.9,2306.74,1946.1,1615.74,0.2298186116,0.7004430495,1449.5,1431.2,1659.3,1806.3,1732.4,1615.74,2306.74
Harlem-Lake,41.88691,-87.803487,green,Forest Park,54017,,,,803.8,759.2,3415.3,3390.2,3903.546667,3402.75,2094.16,0.229667181,0.5364762302,1888.7,1898.1,2203.6,2305,2175.4,2094.16,3903.546667
Oak Park-Lake,41.887112,-87.794091,green,Oak Park,66755,,,,124.9,111.5,1433.9,1426,1671.42,1429.95,829.32,0.08266023288,0.4961769035,751.6,753.5,901.3,910,830.2,829.32,1671.42
Ridgeland,41.887159,-87.783661,green,Oak Park,66755,,,,130.1,132.2,1275.5,1279.5,1461.26,1277.5,752.04,0.1026614481,0.5146517389,676.3,682.9,800,831.1,769.9,752.04,1461.26
Austin-Lake,41.887299,-87.774178,green,Austin,21385,56.1,,,365.5,392.5,1656.1,1640.3,1907.246667,1648.2,1071.2,0.2299478219,0.5616473311,990.5,991.5,1115.1,1164.3,1094.6,1071.2,1907.246667
Central-Lake,41.887389,-87.76565,green,Austin,21385,56.1,,,560.3,620.2,1843.5,1808,2010.56,1825.75,1226.78,0.3232917979,0.6101683113,1174.6,1163.6,1239.8,1299.1,1256.8,1226.78,2010.56
Laramie,41.88729,-87.755281,green,Austin,21385,56.1,,,301.1,336.5,988.5,976.3,1178.786667,982.4,711.5,0.3245114007,0.6035867389,657.6,636.8,719.2,791.4,752.5,711.5,1178.786667
Cicero-Lake,41.886616,-87.744569,green,Austin,21385,56.1,,,377,389.5,1092.6,1118.9,1269.046667,1105.75,705.66,0.3465973321,0.5560552015,653.4,659.6,706,764,745.3,705.66,1269.046667
Pulaski-Lake,41.885564,-87.726638,green,Garfield Park,15449.5,65.8,,,475.7,491.4,1223,1230.6,1444.933333,1226.8,934.82,0.3941555266,0.6469641045,856.3,844.9,962.6,1024.4,985.9,934.82,1444.933333
Conservatory,41.884986,-87.71618,green,Garfield Park,15449.5,65.8,,,321.2,324,879.5,867.1,931.18,873.3,600.4,0.3694034123,0.6447732984,578.9,579.7,602.3,639.2,601.9,600.4,931.18
Kedzie-Lake,41.884411,-87.706222,green,Garfield Park,15449.5,65.8,,,364.4,390.2,1357.4,1307.7,1459.373333,1332.55,763.32,0.2831413455,0.5230464218,636.8,672.4,779.6,889.3,838.5,763.32,1459.373333
California-Lake,41.884333,-87.696398,green,Garfield Park,15449.5,65.8,,,245.5,234.2,954.5,937,1074.493333,945.75,730.66,0.2536082474,0.680004219,666,676.7,749,793.1,768.5,730.66,1074.493333
Ashland-Lake,41.885388,-87.666666,"green, pink",United Center,59635,27.1,,,392.6,390.3,2503.8,2469.2,2556.9,2486.5,1924.18,0.1574301227,0.7525440964,1625.6,1752.4,1748.6,2172.8,2321.5,1924.18,2556.9
Morgan-Lake,41.885577,-87.65213,"green, pink",West Loop,59635,27.1,,,280,261.8,3820.1,3660.1,3602.106667,3740.1,3312.98,0.07243121842,0.9197340075,3256.8,3200,3413.7,3369.1,3325.3,3312.98,3602.106667
Clinton-Lake,41.885819,-87.641503,"green, pink",West Loop,59635,27.1,,,355.6,324.8,4686.9,4573,4592.653333,4629.95,2625.82,0.07347811531,0.5717435673,2495.7,2473.4,2657.7,2743,2759.3,2625.82,4592.653333
Cermak-McCormick Place,41.852791,-87.626414,green,Near South Side,88784,,,,257.2,232.5,1632.9,1484,1858.353333,1558.45,1257.92,0.1571112323,0.6769003383,1339.7,1140.9,1063.5,1188.7,1556.8,1257.92,1858.353333
35-Bronzeville-IIT,41.832152,-87.625896,green,Douglas,28547,,,,237.6,221.4,1590.1,1456,1780.946667,1523.05,1025.86,0.1506844818,0.5760194952,772.1,830.5,1053.7,1276.5,1196.5,1025.86,1780.946667
Indiana,41.821921,-87.621409,green,Grand Boulevard,29808,46.4,,0.4808901527,165.7,176.5,677.6,686.7,860.28,682.15,365.98,0.2508245987,0.4254196308,336.5,330.1,355.2,391.7,416.4,365.98,860.28
43rd,41.816569,-87.619042,green,Grand Boulevard,29808,46.4,,,223.9,231.8,887.6,889.9,1076.78,888.75,550.24,0.256371308,0.5110050335,508.4,514.5,548.9,597.2,582.2,550.24,1076.78
47th-South Elevated,41.809209,-87.618826,green,Grand Boulevard,29808,46.4,,,240.6,256.3,919.9,902.9,1165.48,911.4,576.56,0.2726025894,0.4946974637,549.9,558.5,576.3,599.6,598.5,576.56,1165.48
51st,41.802164,-87.618522,green,Grand Boulevard,29808,46.4,,,217.8,229.1,837.4,819.9,1017.873333,828.65,501.24,0.2696554637,0.4924384828,473.5,461.9,497,527.7,546.1,501.24,1017.873333
Garfield-South Elevated,41.795381,-87.618346,green,Washington Park,16193,61.3,,,233.8,241.4,980.4,954.4,1295.966667,967.4,679.32,0.2456067811,0.5241801487,653.2,653.8,652.3,717.3,720,679.32,1295.966667
King Drive,41.780339,-87.615624,green,Woodlawn,22457,53.1,,0.5118185957,140.3,145.5,397.5,387.3,534.2333333,392.4,258.96,0.3641692151,0.4847320147,243.8,231.5,256.9,281.3,281.3,258.96,534.2333333
East 63rd-Cottage Grove,41.780493,-87.605935,green,Woodlawn,22457,53.1,,,248.2,258.2,872.6,874.4,1107.393333,873.5,596.78,0.2898683457,0.5389051767,573.8,574.1,574.7,610.4,650.9,596.78,1107.393333
Halsted/63rd,41.779783,-87.645014,green,Englewood,15034,68.2,,,142.9,137.8,480.1,459.2,618.2933333,469.65,281.58,0.2988395614,0.4554149055,265.2,262.4,261.5,304.4,314.4,281.58,618.2933333
Ashland/63rd,41.77901,-87.663887,green,Englewood,15034,68.2,,,289.1,311.1,864.8,872.4,1137.44,868.6,544.98,0.3454985033,0.4791285694,512.5,495,531.3,593.2,592.9,544.98,1137.44
Kimball,41.96829,-87.71317,brown,Albany Park,32298,,,0.5924230499,580.6,535.1,3789.1,3733.3,4059.953333,3761.2,2545.96,0.1483170265,0.6270909518,2428.2,2376.5,2496.1,2744.5,2684.5,2545.96,4059.953333
Kedzie-Brown,41.966065,-87.70857,brown,Albany Park,32298,,,,280.7,248.6,1879.8,1850.6,2053.173333,1865.2,1264.34,0.1418882694,0.6157979843,1222.9,1200,1249.2,1336,1313.6,1264.34,2053.173333
Francisco,41.966157,-87.701555,brown,Albany Park,32298,,,,129.3,121,1606.4,1591.1,1726.186667,1598.75,922.44,0.07827990618,0.5343802138,915.2,888.4,925.9,942.7,940,922.44,1726.186667
Rockwell,41.966225,-87.69406,brown,Lincoln Square,49797,24.7,,0.5208907282,132.3,113.3,1819.5,1792,1809.866667,1805.75,939.76,0.06800498408,0.5192426698,929.8,889.4,946.3,957,976.3,939.76,1809.866667
Western-Brown,41.966347,-87.688467,brown,Lincoln Square,49797,24.7,,,397.3,391.2,3801.4,3830,4131.513333,3815.7,2240.88,0.1033231124,0.5423872124,2154.5,2151.7,2221.8,2359.8,2316.6,2240.88,4131.513333
Damen-Brown,41.966472,-87.678811,brown,Lincoln Square,49797,24.7,,,180.9,172,2750.8,2752.3,2878.28,2751.55,1524.3,0.06412749178,0.5295871145,1472.9,1355.9,1490.3,1651.6,1650.8,1524.3,2878.28
Montrose-Brown,41.96177,-87.675195,brown,Lincoln Square,49797,24.7,,,222.8,191.8,2594.7,2619.5,2793.28,2607.1,1375.26,0.07951363584,0.4923459159,1365.9,1317.5,1357,1410,1425.9,1375.26,2793.28
Irving Park-Brown,41.954521,-87.674868,brown,North Center,77951,18.1,,0.4751923149,200.3,186.5,3105.1,3099.5,3342.953333,3102.3,1592,0.06234084389,0.4762256129,1518.6,1468.3,1569.1,1698.1,1705.9,1592,3342.953333
Addison-Brown,41.947082,-87.674724,brown,North Center,77951,18.1,,,152.5,149.5,2486.8,2487.5,2483.006667,2487.15,1177.34,0.06071205999,0.4741590169,1112.9,1020.2,1173.4,1286.2,1294,1177.34,2483.006667
Paulina,41.943788,-87.671061,brown,Lake View,74366,13.5,,,201.8,199.2,2779.3,2779.1,2916.366667,2779.2,1617.7,0.07214306275,0.5546970546,1581,1492.1,1612.3,1695.5,1707.6,1617.7,2916.366667
Southport,41.943858,-87.663528,brown,Lake View,74366,13.5,,,153.8,132.1,3331.7,3450.8,3501.093333,3391.25,2082.68,0.0421525986,0.5948656039,2074,1930.4,2121.7,2150.8,2136.5,2082.68,3501.093333
Wellington,41.936237,-87.653242,"brown, purple",Lake View,90189,13.5,,,253.2,218,3087.9,3070,3167.94,3078.95,1731.58,0.07651959272,0.5465949481,1658.3,1588.9,1720.5,1822.6,1867.6,1731.58,3167.94
Diversey,41.932732,-87.653131,"brown, purple",Lake View,90189,13.5,,,389.6,349.9,5518.5,5587.9,5788.433333,5553.2,3045.68,0.06658323129,0.5261665505,2960.1,2816.1,2995.6,3178.3,3278.3,3045.68,5788.433333
Armitage,41.918217,-87.652644,"brown, purple",Lake View,90189,13.5,,,216.8,181.7,4101,4154,4291.4,4127.5,2567.26,0.04827377347,0.5982336767,2419.6,2274.4,2521.9,2810.1,2810.3,2567.26,4291.4
Sedgwick,41.910481,-87.638712,"brown, purple",Old Town,104139,9.4,,,313.2,311.3,3513.1,3555.4,4063.946667,3534.25,2522.72,0.08834972059,0.6207561779,2504.6,2437.5,2563.1,2543.9,2564.5,2522.72,4063.946667
Chicago/Franklin,41.895983,-87.635669,"brown, purple",River North,104139,9.4,,,590.4,511.9,6743.8,6708.6,7323.393333,6726.2,3998.68,0.08194076893,0.5460146435,3944.6,3853,4064.1,4065.2,4066.5,3998.68,7323.393333
Merchandise Mart,41.889131,-87.634026,"brown, purple",River North,104139,9.4,,,194.6,168.1,7977.7,8187.6,8538.14,8082.65,3993.04,0.02243694828,0.4676709447,4008.6,3928.8,4007,3912.6,4108.2,3993.04,8538.14
Midway Airport,41.786797,-87.738084,orange,Garfield Ridge,32788,41.9,,,1030.7,982,7313.7,7104,9121.353333,7208.85,5368.12,0.1395992426,0.5885223172,5095.5,4948.5,5396.8,5769,5630.8,5368.12,9121.353333
Pulaski-Orange,41.799986,-87.724429,orange,West Elsdon,23007,54,,,604,586.4,4932.2,4775.5,5262.713333,4853.85,3170.06,0.1226243085,0.6023622795,2840.9,2757.1,3044.6,3655.5,3552.2,3170.06,5262.713333
Kedzie-Midway,41.804584,-87.704272,orange,Brighton Park,18313,65.5,,,554.6,554.8,3265.1,3138.7,3560.373333,3201.9,2285.26,0.1732408882,0.6418596552,2116.1,2059,2236,2526.7,2488.5,2285.26,3560.373333
