station name,lat,long,routes served,Districts/Neighborhoods,income,hardshipIndex,projectedPoint,Wrigleyville,may_20_avg_weekday_rides,apr_20_avg_weekday_rides,feb_20_avg_weekday_rides,jan_20_avg_weekday_rides,prePanAvgRidership,JanFeb20AvgRidership,postPanAvgRidership,lockdownRelativeAvg,postPanRelativeAvg,avg_weekday_ridership_jun_23,avg_weekday_ridership_jul_23,avg_weekday_ridership_aug_23,avg_weekday_ridership_sept_23,avg_weekday_ridership_oct_23,post_pan_avg,previous avg
Western-Orange,41.80474,-87.684091,orange,Gage Park,16155,66.4,,,622.3,604.5,3520.5,3417.2,3860.566667,3468.85,2456.26,0.1768309382,0.636243384,2300.3,2267.4,2384.3,2703.3,2626,2456.26,3860.566667
35th/Archer,41.829353,-87.680622,orange,Mckinley Park,26934,46.8,,,344.5,339.1,2852,2741,3190.366667,2796.5,1830.46,0.1222242088,0.5737459644,1718.9,1670.2,1796.4,2009.8,1957,1830.46,3190.366667
Ashland-Orange,41.839324,-87.665502,orange,Lower West Side,30762,,,,318.1,314.6,1490.7,1474,1669.653333,1482.35,1174.24,0.2134111377,0.7032837156,1120.6,1085.3,1146.6,1274.2,1244.5,1174.24,1669.653333
Halsted-Orange,41.84678,-87.648088,orange,Bridgeport,31693,,,,283.7,283.3,2665.4,2470.7,2703.706667,2568.05,1688.7,0.1103950468,0.6245869868,1352.9,1341.3,1637.6,2049.8,2061.9,1688.7,2703.706667
Washington/Wells,41.882511,-87.633839,"brown, orange, pink, purple",Loop,90513,12.9,,,526.7,471.6,8425.8,8425.1,8441.806667,8425.45,4569.22,0.05924312648,0.5412609149,4454,4370.9,4581.2,4616.5,4823.5,4569.22,8441.806667
Quincy/Wells,41.878731,-87.633837,"brown, orange, pink, purple",Loop,90513,12.9,,,353.7,351.2,8127.8,8146.7,8362.106667,8137.25,4459.72,0.04331315862,0.5333249357,4265.5,4241.4,4535.5,4513.7,4742.5,4459.72,8362.106667
LaSalle/Van Buren,41.8768,-87.631739,"brown, orange, pink, purple",Loop,90513,12.9,,,217.4,202.2,3209.9,3157.2,3090.42,3183.55,1655.48,0.06590127374,0.5356812343,1551,1553,1701.7,1747,1724.7,1655.48,3090.42
Library,41.876908,-87.628503,"brown, orange, pink, purple",Loop,90513,12.9,,,407.5,391.1,3780.3,3437.8,3856.726667,3609.05,2742.2,0.1106385337,0.7110174604,2321.1,2298.5,2676.1,3280.8,3134.5,2742.2,3856.726667
Adams/Wabash,41.879558,-87.626112,"brown, orange, pink, purple, green",Loop,90513,12.9,,,560.2,507.6,7090.4,6627.6,8107.093333,6859,4447.3,0.07783933518,0.5485689898,3864,3656.6,4386.3,5172.3,5157.3,4447.3,8107.093333
Washington/Wabash,41.882256,-87.626187,"brown, green, orange, pink, purple",Loop,90513,12.9,,,969,865.1,9557.2,9546.4,9718.462222,9551.8,6961.08,0.09600808225,0.7162738138,6701.9,6893,7252,7000.6,6957.9,6961.08,9718.462222
State/Lake,41.885796,-87.627932,"purple, brown, green, orange, pink",Loop,90513,12.9,,,931.7,862.1,11787,11425.9,12901.04,11606.45,8002.56,0.0772759974,0.6203034794,7522.9,7660.1,8035.1,8416.4,8378.3,8002.56,12901.04
Clark/Lake,41.885735,-87.631345,"blue, brown, green, orange, pink, purple",Loop,90513,12.9,,,1137.9,1037.4,19520.1,19652.3,22237.9,19586.2,8916.82,0.05553144561,0.4009740128,9095.6,8755.1,8847.6,8827.9,9057.9,8916.82,22237.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68377.1,68155.7,559504.4,549707,,,,,,,,,,,,
